feature,importance
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0012796921101704433
OCCUPATION_TYPE_Managers,0.0012349612005608916
ORGANIZATION_TYPE_Other,0.0011202079975009946
NAME_HOUSING_TYPE_With parents,0.0010732078605565616
FLAG_DOCUMENT_6,0.0010276085279123377
FLAG_EMP_PHONE,0.0010061968512386772
REG_REGION_NOT_WORK_REGION,0.000939884307688056
IS_PENSIONER,0.0009234173021639019
NAME_FAMILY_STATUS_Widow,0.0008875364552814086
ORGANIZATION_TYPE_XNA,0.0008598770243544559
"NAME_TYPE_SUITE_Spouse, partner",0.0008317546131258254
NAME_INCOME_TYPE_Pensioner,0.0008063608647856142
AMT_REQ_CREDIT_BUREAU_WEEK,0.0008035236461263796
IS_UNEMPLOYED,0.0008008805860631814
ORGANIZATION_TYPE_Business Entity Type 2,0.0007822591433533893
NAME_HOUSING_TYPE_Municipal apartment,0.000777275406796914
OCCUPATION_TYPE_High skill tech staff,0.0007676211013086746
LIVE_REGION_NOT_WORK_REGION,0.0007661870870001479
ORGANIZATION_TYPE_Government,0.0007342633542462638
FONDKAPREMONT_MODE_reg oper account,0.0007093358549873095
ORGANIZATION_TYPE_Medicine,0.0006893115442340197
ORGANIZATION_TYPE_Construction,0.0006700705316829873
ORGANIZATION_TYPE_Trade: type 7,0.0006627165770282143
OCCUPATION_TYPE_Security staff,0.0006496803938328507
ORGANIZATION_TYPE_School,0.0005851583120267389
OCCUPATION_TYPE_Accountants,0.0005795461747116747
OCCUPATION_TYPE_Cooking staff,0.0005508361902997461
NAME_HOUSING_TYPE_Rented apartment,0.0005459925814565717
OCCUPATION_TYPE_Medicine staff,0.0005389608679901926
ORGANIZATION_TYPE_Kindergarten,0.0004929223561742613
ORGANIZATION_TYPE_Transport: type 4,0.00048206792059783096
ORGANIZATION_TYPE_Business Entity Type 1,0.00046915753204407876
FONDKAPREMONT_MODE_reg oper spec account,0.0004685601061331366
WALLSMATERIAL_MODE_Block,0.0004500821369229418
OCCUPATION_TYPE_Cleaning staff,0.00042114378493341846
ORGANIZATION_TYPE_Industry: type 3,0.0003894135139705887
FLAG_DOCUMENT_5,0.0003699278892730154
REG_REGION_NOT_LIVE_REGION,0.0003589708416470085
ORGANIZATION_TYPE_Security,0.0003368532950332474
ORGANIZATION_TYPE_Trade: type 3,0.00032677889244743524
OCCUPATION_TYPE_Low-skill Laborers,0.0003259177537240941
ORGANIZATION_TYPE_Agriculture,0.00031302009875962874
NAME_TYPE_SUITE_Children,0.00030529630662615197
ORGANIZATION_TYPE_Industry: type 11,0.00026710589094033313
ORGANIZATION_TYPE_Industry: type 9,0.00025725231917769737
ORGANIZATION_TYPE_Housing,0.0002547047747672928
ORGANIZATION_TYPE_Postal,0.0002523262337932004
FONDKAPREMONT_MODE_not specified,0.00024377271458918796
FONDKAPREMONT_MODE_org spec account,0.00023952722199168582
WALLSMATERIAL_MODE_Wooden,0.00023576365621590312
ORGANIZATION_TYPE_Restaurant,0.00022682927667681178
OCCUPATION_TYPE_Private service staff,0.00022365789523322616
ORGANIZATION_TYPE_Transport: type 3,0.00022109139980736078
NAME_HOUSING_TYPE_Office apartment,0.00021688611150235906
ORGANIZATION_TYPE_Transport: type 2,0.00021273907674329196
FLAG_DOCUMENT_16,0.00018627598215676452
NAME_TYPE_SUITE_Other_B,0.00018536502139438528
ORGANIZATION_TYPE_Military,0.00018504337558073646
AMT_REQ_CREDIT_BUREAU_DAY,0.00017496394288813057
OCCUPATION_TYPE_Waiters/barmen staff,0.00017025770751471315
FLAG_DOCUMENT_18,0.00016426614638329713
HOUSETYPE_MODE_block of flats,0.0001621727013848432
ORGANIZATION_TYPE_Police,0.00015372696514523744
EMERGENCYSTATE_MODE_No,0.000144655519669744
EMERGENCYSTATE_MODE_Yes,0.000142836819247909
ORGANIZATION_TYPE_Industry: type 1,0.0001393957317072983
AMT_REQ_CREDIT_BUREAU_HOUR,0.00013922399890418284
ORGANIZATION_TYPE_Bank,0.00013505633090593857
ORGANIZATION_TYPE_Security Ministries,0.00013091848449836522
WALLSMATERIAL_MODE_Mixed,0.00013065872798109538
NAME_HOUSING_TYPE_Co-op apartment,0.00013030018988743945
ORGANIZATION_TYPE_Services,0.00012887179383541913
ORGANIZATION_TYPE_Trade: type 2,0.00012829409989719597
ORGANIZATION_TYPE_Industry: type 4,0.00012314851279299186
ORGANIZATION_TYPE_Industry: type 7,0.00012294144556159752
OCCUPATION_TYPE_Secretaries,0.00012141998258858172
HOUSETYPE_MODE_specific housing,0.00010399868669646755
WALLSMATERIAL_MODE_Others,0.00010284715806583492
ORGANIZATION_TYPE_University,9.636245192552907e-05
ORGANIZATION_TYPE_Hotel,9.363037354150538e-05
NAME_TYPE_SUITE_Other_A,8.743628380304066e-05
ORGANIZATION_TYPE_Telecom,8.402820510159047e-05
FLAG_DOCUMENT_11,8.196448258114318e-05
FLAG_DOCUMENT_9,8.00074678016911e-05
